accel_x_mean,accel_x_min,accel_x_max,accel_y_mean,accel_y_min,accel_y_max,accel_z_mean,accel_z_min,accel_z_max,accel_sma,accel_ai,gyro_x_mean,gyro_x_min,gyro_x_max,gyro_y_mean,gyro_y_min,gyro_y_max,gyro_z_mean,gyro_z_min,gyro_z_max,gyro_sma,gyro_ai,bucket_bin,activity,activity_code,bucket_samples
-2796.66,-11434,3624,3818.98,-178,18286,-323.72,-23486,10268,8969.76,5963.2425691050175,371.9,-4190,5563,287.46,-3825,3436,-380.56,-2817,4263,4245.88,2781.315811324517,255,Jogging,0,100
-2147.28,-10522,3780,3395.02,-582,15452,-118.48,-12210,7692,8488.78,5635.186608401487,-35.44,-4014,7488,-120.68,-4460,3758,67.84,-2469,3229,4642.92,3071.6892540832987,256,Jogging,0,100
-2678.24,-10182,4054,3232.62,-1310,14968,-374.2,-6252,6612,8234.1,5327.294773680494,-122.63,-3839,5939,-140.85,-4524,3212,287.56,-2462,3750,4381.96,2824.7158289846448,257,Jogging,0,100
-2690.18,-12854,3936,3862.84,-608,18072,-188.1,-8826,5608,9109.56,5973.373912510695,104.78,-4661,6577,153.47,-6676,3917,-316.06,-2877,4372,4620.25,3033.5355170517364,258,Jogging,0,100
-2759.48,-12094,4102,3766.92,-462,16614,-111.98,-16906,7402,9364.26,6114.951153274756,19.32,-3533,5978,-317.55,-4794,3115,344.06,-2658,4579,4650.97,3024.200088634708,259,Jogging,0,100
-2604.2,-11882,4134,3308.8,-758,17206,-546.88,-21366,8280,8243.12,5416.491403984389,111.0,-3563,4345,202.1,-4002,2747,-140.07,-2779,4237,3875.87,2499.459064929723,260,Jogging,0,100
-2412.66,-11202,4090,3400.56,-498,14852,-405.38,-15478,7848,8344.68,5502.419525438941,-26.86,-3417,7011,285.53,-3575,4393,-58.47,-2549,3825,4528.74,2945.0699946621376,261,Jogging,0,100
-2962.76,-10152,1886,3800.32,-3132,15298,-338.6,-15200,9464,9281.04,6061.748650028553,-429.86,-5185,6270,187.47,-4694,3763,305.62,-2518,3791,4661.93,3095.2296241429144,262,Jogging,0,100
-2793.72,-11368,3622,3850.4,-274,15160,-185.82,-8166,6878,8903.14,5769.4589171759735,81.93,-4291,7174,742.95,-3592,4081,-417.48,-2464,3563,4573.4400000000005,2952.3671861971907,263,Jogging,0,100
-2181.7,-12794,4182,3441.78,-1572,15930,-171.14,-13490,9164,8667.9,5604.296418024045,-183.4,-5844,7626,6.28,-4487,4940,13.44,-2384,3827,4564.86,3042.912785584274,264,Jogging,0,100
-2738.42,-11914,3612,3207.86,-1266,16350,-444.36,-8144,4934,8460.960000000001,5475.6235200708725,-1.02,-3692,6581,-237.16,-6262,2681,174.15,-2415,3229,4380.57,2874.982940435688,265,Jogging,0,100
-2600.0,-12068,4234,3736.86,-890,16284,-167.14,-6142,6422,8782.32,5771.064010622775,-31.62,-5276,6423,91.75,-3995,3807,-288.92,-2859,3961,4618.17,3023.313312239843,266,Jogging,0,100
-3014.7,-9594,2140,3693.52,-2168,16334,-302.78,-7908,7758,9112.16,5895.611030804949,-125.04,-6891,6710,21.87,-5059,5120,375.69,-2615,3280,4733.7,3123.1857566789918,267,Jogging,0,100
-2869.56,-10346,1434,3691.26,-562,15466,-322.08,-8724,10594,8701.14,5647.781919659602,-5.23,-7432,6504,854.08,-4975,6978,-200.41,-2841,3232,4557.52,3044.8195744656796,268,Jogging,0,100
-2041.5,-9984,3952,3096.32,-1298,13664,-233.6,-8858,7640,7923.900000000001,5174.201951684066,-261.78,-6208,8115,272.7,-6254,4913,-208.84,-2682,2352,4645.26,3102.971312401364,269,Jogging,0,100
-2893.32,-10842,4108,3552.5,-1392,15894,-261.2,-6428,7060,8864.02,5776.241048096425,-321.87,-4361,5704,-239.83,-6044,3277,233.73,-2460,2937,4426.97,2913.2679460886093,270,Jogging,0,100
-2744.5882352941176,-10442,4390,3728.141176470588,-1352,17996,-75.55294117647058,-17342,7176,9175.858823529412,6054.136926644279,35.694117647058825,-4252,5589,67.44705882352942,-5680,3144,-231.25882352941176,-2329,2841,4773.905882352941,3117.7023739596098,271,Jogging,0,85
-2589.18,-11220,4506,3609.14,-1008,17918,-154.64,-16716,8908,9565.32,6289.595084696569,-9.39,-7535,7481,-399.69,-4906,3475,300.34,-2706,2768,5114.42,3341.92274810732,272,Jogging,0,100
-2589.413043478261,-11072,4328,3107.1304347826085,-628,16376,-496.4782608695652,-10076,7024,7976.630434782608,5198.277024184417,-54.26086956521739,-4749,5361,33.02173913043478,-4024,3092,72.29347826086956,-2260,3252,3959.315217391304,2586.243346487797,273,Jogging,0,92
-3050.88,-11530,4224,3812.78,-664,14950,-227.04,-18070,6340,9641.380000000001,6184.99757496858,-87.38,-4593,4719,-334.6,-5155,2576,331.7,-2379,3543,4236.56,2801.4624972537063,275,Jogging,0,100
-2835.92,-13436,5942,3761.22,-1550,17508,-262.0,-4938,7544,9083.74,5919.9098539041115,404.75,-4502,4547,244.18,-4139,3114,-321.48,-2515,3270,4269.55,2729.8527082315877,276,Jogging,0,100
-2097.24,-12208,4852,3052.06,-1016,15886,-366.44,-28168,7674,8348.06,5478.2176999675585,-37.1,-7395,6467,-50.96,-3772,2852,0.21,-2242,4443,4549.21,3030.510949224102,277,Jogging,0,100
-3058.387755102041,-11990,4070,3597.3061224489797,-572,17054,-217.46938775510205,-10918,7022,8992.020408163264,5819.233107064233,-215.8469387755102,-4019,4639,-264.18367346938777,-4814,3678,347.3979591836735,-2071,3116,4296.183673469387,2774.742218458397,278,Jogging,0,98
-3434.814814814815,-10672,516,4226.259259259259,-154,15158,-165.11111111111111,-4816,5018,9380.185185185184,6060.889300906721,-29.64814814814815,-5410,3578,428.31481481481484,-5120,3881,-95.4074074074074,-2101,3296,4626.333333333333,2947.9765417290346,279,Jogging,0,54
-3213.641025641026,-10070,3008,3980.8205128205127,-708,14238,80.97435897435898,-5794,7764,9646.461538461539,6234.942201306824,-215.9102564102564,-5901,4511,71.67948717948718,-5834,3879,217.89743589743588,-2033,2710,4472.74358974359,2961.6742674909024,280,Jogging,0,78
-2619.14,-9104,2710,3090.92,-452,12620,-497.42,-10784,7214,7541.4800000000005,4858.814471407237,-296.11,-7053,4737,491.84,-4271,4260,-6.1,-2000,2304,4206.59,2736.08269050002,281,Jogging,0,100
-2513.22,-10978,3618,3627.3,-550,14460,-203.76,-6956,5590,8515.28,5549.034076378168,-305.19,-5432,4513,378.75,-4085,4119,-375.97,-2277,2637,4267.11,2797.1479082200904,282,Jogging,0,100
-3041.44,-12052,3922,3808.52,-700,14970,-325.38,-26958,7276,9579.18,6214.552388045179,-43.17,-4773,4921,-361.97,-4634,2974,328.7,-2239,3394,4551.58,2922.7768804575844,283,Jogging,0,100
-2854.52,-11708,2850,3718.38,-582,15508,-343.1,-5874,5570,8724.960000000001,5664.183085576724,338.89,-3287,4902,275.44,-5068,3504,-253.4,-2587,3204,4182.67,2691.91604977378,284,Jogging,0,100
